generation,mu,mean_sigma,min_sigma,max_sigma,mean_psucc,min_psucc,max_psucc,gens_silent,sigma_floor_active,archive_size,n_pitot3_sentinels,n_spark_sentinels,n_both_sentinels,n_sentinels,lineage_0,lineage_1,lineage_2,lineage_3,lineage_4,lineage_5,lineage_6,lineage_7,lineage_8,lineage_9,lineage_10,lineage_11,lineage_12,lineage_13,lineage_14,lineage_15,lineage_16,lineage_17,lineage_18,lineage_19,lineage_20,lineage_21,lineage_22,lineage_23,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,psucc_0,psucc_1,psucc_2,psucc_3,psucc_4,psucc_5,psucc_6,psucc_7,psucc_8,psucc_9,psucc_10,psucc_11,psucc_12,psucc_13,psucc_14,psucc_15,psucc_16,psucc_17,psucc_18,psucc_19,psucc_20,psucc_21,psucc_22,psucc_23
1,24,0.10013694110609737,0.09953810705865762,0.10210518621451076,0.18623737373737373,0.16666666666666666,0.25,0,False,3,0,0,0,0,0,7,19,4,12,23,11,17,8,2,16,5,13,6,21,18,9,10,22,34,14,3,15,1,0.1,0.1,0.09953810705865762,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09953810705865762,0.1,0.1,0.1,0.1,0.10210518621451076,0.1,0.10210518621451076,0.1,0.1,0.1,0.1,0.18181818181818182,0.18181818181818182,0.16666666666666666,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.16666666666666666,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.25,0.18181818181818182,0.25,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
2,24,0.10027388221219474,0.09953810705865762,0.10210518621451076,0.19065656565656566,0.16666666666666666,0.25,0,False,3,0,0,0,0,0,7,19,4,12,54,23,11,17,8,2,16,5,13,6,21,18,9,10,22,34,14,3,15,0.1,0.1,0.09953810705865762,0.09953810705865762,0.1,0.10210518621451076,0.1,0.10210518621451076,0.1,0.1,0.1,0.1,0.1,0.09953810705865762,0.1,0.1,0.1,0.1,0.10210518621451076,0.09953810705865762,0.10210518621451076,0.1,0.1,0.1,0.18181818181818182,0.18181818181818182,0.16666666666666666,0.16666666666666666,0.18181818181818182,0.25,0.18181818181818182,0.25,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.16666666666666666,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.25,0.16666666666666666,0.25,0.18181818181818182,0.18181818181818182,0.18181818181818182
3,24,0.10126804063926702,0.09953810705865762,0.10626479815687233,0.21667192760942763,0.16666666666666666,0.3125,0,False,2,0,0,0,0,0,75,7,19,4,12,54,23,11,17,8,85,76,72,13,2,16,5,21,83,92,6,9,18,0.10210518621451076,0.10120316818419796,0.1,0.09953810705865762,0.10120316818419796,0.10210518621451076,0.1035931400515108,0.1,0.1035931400515108,0.1,0.1,0.10120316818419796,0.10210518621451076,0.10210518621451076,0.10120316818419796,0.1,0.10210518621451076,0.1,0.1,0.10210518621451076,0.10626479815687233,0.1,0.1,0.1,0.25,0.2361111111111111,0.18181818181818182,0.16666666666666666,0.2361111111111111,0.25,0.22916666666666666,0.18181818181818182,0.22916666666666666,0.18181818181818182,0.18181818181818182,0.2361111111111111,0.25,0.25,0.2361111111111111,0.18181818181818182,0.25,0.18181818181818182,0.18181818181818182,0.25,0.3125,0.18181818181818182,0.18181818181818182,0.18181818181818182
4,24,0.1017427606374192,0.09953810705865762,0.10718608167904842,0.22254664702581373,0.16666666666666666,0.3125,0,False,2,0,0,0,0,0,75,104,7,19,4,12,54,23,11,17,8,85,76,72,13,2,16,5,21,83,92,6,18,0.10210518621451076,0.10120316818419796,0.10718608167904842,0.1,0.09953810705865762,0.10120316818419796,0.10210518621451076,0.1035931400515108,0.1,0.10718608167904842,0.1,0.1,0.1022793177746068,0.10210518621451076,0.10210518621451076,0.10120316818419796,0.1,0.10210518621451076,0.09953810705865762,0.1,0.10210518621451076,0.10626479815687233,0.1,0.1,0.25,0.2361111111111111,0.2934027777777778,0.18181818181818182,0.16666666666666666,0.2361111111111111,0.25,0.22916666666666666,0.18181818181818182,0.2934027777777778,0.18181818181818182,0.18181818181818182,0.21643518518518517,0.25,0.25,0.2361111111111111,0.18181818181818182,0.25,0.16666666666666666,0.18181818181818182,0.25,0.3125,0.18181818181818182,0.18181818181818182
5,24,0.10273645588122961,0.09953810705865762,0.11007817489808147,0.2304042669168537,0.16666666666666666,0.3125,0,False,2,0,0,0,0,0,75,132,7,19,104,4,12,54,23,11,17,8,85,76,72,13,2,16,5,120,21,92,6,0.10626479815687233,0.10120316818419796,0.1054499865926845,0.1,0.09953810705865762,0.11007817489808147,0.10120316818419796,0.10210518621451076,0.1035931400515108,0.09953810705865762,0.10718608167904842,0.09953810705865762,0.1,0.1054499865926845,0.10210518621451076,0.1035931400515108,0.10120316818419796,0.1,0.10210518621451076,0.09953810705865762,0.10626479815687233,0.1,0.10971734353948906,0.1,0.3125,0.2361111111111111,0.28173225308641975,0.18181818181818182,0.16666666666666666,0.2689525462962963,0.2361111111111111,0.25,0.22916666666666666,0.16666666666666666,0.2934027777777778,0.16666666666666666,0.18181818181818182,0.28173225308641975,0.25,0.22916666666666666,0.2361111111111111,0.18181818181818182,0.25,0.16666666666666666,0.3125,0.18181818181818182,0.2864583333333333,0.18181818181818182
6,24,0.10251307419819833,0.09953810705865762,0.11007817489808147,0.23033192895389076,0.16666666666666666,0.3125,0,False,2,0,0,0,0,0,75,132,7,148,19,104,4,12,54,23,11,17,8,85,76,72,13,2,16,5,120,21,6,0.10626479815687233,0.10120316818419796,0.1054499865926845,0.1,0.10120316818419796,0.10120316818419796,0.11007817489808147,0.10120316818419796,0.10210518621451076,0.1035931400515108,0.09953810705865762,0.10718608167904842,0.09953810705865762,0.1,0.1054499865926845,0.1035931400515108,0.1035931400515108,0.10120316818419796,0.1,0.10210518621451076,0.09953810705865762,0.10626479815687233,0.1,0.1,0.3125,0.2361111111111111,0.28173225308641975,0.18181818181818182,0.2361111111111111,0.2361111111111111,0.2689525462962963,0.2361111111111111,0.25,0.22916666666666666,0.16666666666666666,0.2934027777777778,0.16666666666666666,0.18181818181818182,0.28173225308641975,0.22916666666666666,0.22916666666666666,0.2361111111111111,0.18181818181818182,0.25,0.16666666666666666,0.3125,0.18181818181818182,0.18181818181818182
7,24,0.10260910181855425,0.09953810705865762,0.11007817489808147,0.22660981195052377,0.16666666666666666,0.3125,0,False,2,0,0,0,0,0,75,132,7,148,19,104,4,12,54,23,11,17,8,85,76,72,13,2,16,5,120,21,6,0.10626479815687233,0.10120316818419796,0.1054499865926845,0.1,0.1022793177746068,0.1022793177746068,0.11007817489808147,0.10120316818419796,0.10210518621451076,0.1035931400515108,0.09953810705865762,0.10718608167904842,0.09953810705865762,0.1,0.1054499865926845,0.1035931400515108,0.1035931400515108,0.1022793177746068,0.09953810705865762,0.10210518621451076,0.09953810705865762,0.10626479815687233,0.1,0.09953810705865762,0.3125,0.2361111111111111,0.28173225308641975,0.18181818181818182,0.21643518518518517,0.21643518518518517,0.2689525462962963,0.2361111111111111,0.25,0.22916666666666666,0.16666666666666666,0.2934027777777778,0.16666666666666666,0.18181818181818182,0.28173225308641975,0.22916666666666666,0.22916666666666666,0.21643518518518517,0.16666666666666666,0.25,0.16666666666666666,0.3125,0.18181818181818182,0.16666666666666666
8,24,0.10289778720836107,0.09953810705865762,0.11227675551386578,0.2306062560646979,0.16666666666666666,0.3125,0,False,2,0,0,0,0,0,75,132,7,148,19,104,4,12,54,23,11,17,205,8,85,76,72,13,2,16,5,120,6,0.10626479815687233,0.10120316818419796,0.1054499865926845,0.1,0.1022793177746068,0.10279881408516497,0.11227675551386578,0.10120316818419796,0.10210518621451076,0.1035931400515108,0.09953810705865762,0.10718608167904842,0.09953810705865762,0.10210518621451076,0.10210518621451076,0.1054499865926845,0.1035931400515108,0.1035931400515108,0.1022793177746068,0.09953810705865762,0.10210518621451076,0.09953810705865762,0.10626479815687233,0.09953810705865762,0.3125,0.2361111111111111,0.28173225308641975,0.18181818181818182,0.21643518518518517,0.1983989197530864,0.24653983410493824,0.2361111111111111,0.25,0.22916666666666666,0.16666666666666666,0.2934027777777778,0.16666666666666666,0.25,0.25,0.28173225308641975,0.22916666666666666,0.22916666666666666,0.21643518518518517,0.16666666666666666,0.25,0.16666666666666666,0.3125,0.16666666666666666
9,24,0.10443655951391262,0.09953810705865762,0.11227675551386578,0.25581567081404316,0.16666666666666666,0.3125,0,False,3,0,0,0,0,219,0,75,132,7,148,19,104,4,225,220,11,17,205,232,12,54,23,8,85,76,233,72,5,0.10210518621451076,0.10626479815687233,0.10120316818419796,0.1054499865926845,0.10210518621451076,0.1054499865926845,0.10279881408516497,0.11227675551386578,0.10120316818419796,0.10718608167904842,0.1054499865926845,0.10718608167904842,0.09953810705865762,0.1035931400515108,0.10718608167904842,0.10210518621451076,0.10718608167904842,0.09953810705865762,0.10210518621451076,0.1054499865926845,0.10718608167904842,0.10718608167904842,0.10718608167904842,0.09953810705865762,0.25,0.3125,0.2361111111111111,0.28173225308641975,0.25,0.28173225308641975,0.1983989197530864,0.24653983410493824,0.2361111111111111,0.2934027777777778,0.28173225308641975,0.2934027777777778,0.16666666666666666,0.22916666666666666,0.2934027777777778,0.25,0.2934027777777778,0.16666666666666666,0.25,0.28173225308641975,0.2934027777777778,0.2934027777777778,0.2934027777777778,0.16666666666666666
10,24,0.10547551603349818,0.09953810705865762,0.11291708149019393,0.2670340832368827,0.16666666666666666,0.35228587962962965,0,False,3,0,0,0,0,219,0,75,132,7,248,148,19,104,4,225,220,11,17,205,232,12,54,23,249,8,85,76,233,0.1035931400515108,0.10626479815687233,0.10120316818419796,0.1054499865926845,0.10210518621451076,0.10491709251729248,0.1054499865926845,0.10279881408516497,0.11227675551386578,0.10491709251729248,0.11291708149019393,0.1054499865926845,0.10718608167904842,0.09953810705865762,0.1035931400515108,0.11007817489808147,0.10210518621451076,0.10718608167904842,0.09953810705865762,0.11291708149019393,0.10210518621451076,0.1054499865926845,0.10718608167904842,0.10718608167904842,0.22916666666666666,0.3125,0.2361111111111111,0.28173225308641975,0.25,0.2997685185185185,0.28173225308641975,0.1983989197530864,0.24653983410493824,0.2997685185185185,0.35228587962962965,0.28173225308641975,0.2934027777777778,0.16666666666666666,0.22916666666666666,0.2689525462962963,0.25,0.2934027777777778,0.16666666666666666,0.35228587962962965,0.25,0.28173225308641975,0.2934027777777778,0.2934027777777778
