generation,n_arnold_calls,n_infeasible,n_lambda,infeasibility_rate,n_psd_fallback,n_no_active_js,mean_m_active,mean_A_delta_fro,max_A_delta_fro,any_shrink_applied,n_constraints,per_constraint_violation_count
1,20,20,24,0.8333333333333334,0,0,1.25,0.01586800139955193,0.016693101297305887,True,18,"[0, 0, 0, 0, 0, 5, 1, 8, 2, 0, 0, 2, 2, 0, 0, 2, 3, 0]"
2,20,20,24,0.8333333333333334,0,0,1.45,0.01709207344086073,0.03349618825516808,True,18,"[0, 0, 0, 0, 0, 5, 2, 9, 3, 0, 0, 2, 2, 0, 0, 1, 5, 0]"
3,22,22,24,0.9166666666666666,0,0,1.2727272727272727,0.01945603684781235,0.0569086781844709,True,18,"[0, 0, 0, 0, 0, 7, 0, 7, 1, 0, 0, 2, 1, 0, 0, 4, 6, 0]"
4,20,20,24,0.8333333333333334,0,0,1.1,0.017135796464461856,0.033332516568262825,True,18,"[0, 0, 0, 0, 0, 6, 0, 9, 4, 0, 0, 0, 2, 0, 0, 0, 1, 0]"
5,22,22,24,0.9166666666666666,0,0,1.5,0.022737052386264948,0.09484799244797337,True,18,"[0, 0, 0, 0, 0, 8, 2, 10, 3, 0, 0, 0, 3, 0, 0, 2, 4, 1]"
6,22,22,24,0.9166666666666666,0,0,1.3181818181818181,0.015342429390264839,0.016522216596942547,True,18,"[0, 0, 0, 0, 0, 5, 2, 8, 5, 0, 0, 0, 1, 0, 0, 2, 5, 1]"
7,17,17,24,0.7083333333333334,0,0,1.2352941176470589,0.015128248605603231,0.01602611316646479,True,18,"[0, 0, 0, 0, 0, 6, 1, 9, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
8,17,17,24,0.7083333333333334,0,0,1.1764705882352942,0.022633285129321015,0.10345686826761367,True,18,"[0, 0, 0, 0, 0, 7, 2, 5, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
9,20,20,24,0.8333333333333334,0,0,1.2,0.018437658288654117,0.04436523173378402,True,18,"[0, 0, 0, 0, 0, 5, 0, 7, 4, 0, 0, 1, 0, 0, 0, 4, 3, 0]"
10,18,18,24,0.75,0,0,1.1666666666666667,0.014678636150423023,0.01624357257167103,True,18,"[0, 0, 0, 0, 0, 4, 2, 9, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1]"
11,21,21,24,0.875,0,0,1.1904761904761905,0.01505909297056959,0.01634917508030221,True,18,"[0, 0, 0, 0, 0, 6, 0, 11, 2, 0, 0, 1, 0, 0, 0, 3, 2, 0]"
12,20,20,24,0.8333333333333334,0,0,1.25,0.01771341856738036,0.056434034862051737,True,18,"[0, 0, 0, 0, 0, 4, 1, 9, 5, 0, 0, 0, 0, 0, 0, 5, 1, 0]"
13,20,20,24,0.8333333333333334,0,0,1.35,0.020666165874000685,0.0651504424302454,True,18,"[0, 0, 0, 0, 0, 7, 2, 8, 1, 0, 0, 0, 3, 0, 0, 4, 2, 0]"
14,18,18,24,0.75,0,0,1.3888888888888888,0.015673259767594143,0.0335932172216496,True,18,"[0, 0, 0, 0, 0, 3, 4, 12, 1, 0, 0, 0, 0, 0, 0, 3, 1, 1]"
15,19,19,24,0.7916666666666666,0,0,1.1578947368421053,0.01915747725802357,0.08300201777094907,True,18,"[0, 0, 0, 0, 0, 3, 0, 7, 3, 0, 0, 0, 4, 0, 0, 3, 2, 0]"
16,17,17,24,0.7083333333333334,0,0,1.2352941176470589,0.014619458194552952,0.015796879207220435,True,18,"[0, 0, 0, 0, 0, 2, 1, 8, 3, 0, 0, 0, 2, 0, 0, 4, 1, 0]"
17,19,19,24,0.7916666666666666,0,0,1.368421052631579,0.018479853743259327,0.07395976216749674,True,18,"[0, 0, 0, 0, 0, 4, 1, 11, 1, 0, 0, 0, 1, 0, 0, 5, 2, 1]"
18,20,20,24,0.8333333333333334,0,0,1.35,0.015311524198185314,0.03185149927066237,True,18,"[0, 0, 0, 0, 0, 2, 0, 12, 4, 0, 0, 1, 3, 0, 0, 1, 3, 1]"
19,21,21,24,0.875,0,0,1.1428571428571428,0.015929917585159003,0.02730009184289744,True,18,"[0, 0, 0, 0, 0, 5, 0, 7, 8, 0, 0, 0, 1, 0, 0, 3, 0, 0]"
20,21,21,24,0.875,0,0,1.3333333333333333,0.013827297402123781,0.016672346354558356,True,18,"[0, 0, 0, 0, 0, 5, 1, 8, 4, 0, 0, 0, 2, 0, 0, 4, 3, 1]"
21,21,21,24,0.875,0,0,1.0952380952380953,0.014668484087133601,0.016252638286030557,True,18,"[0, 0, 0, 0, 0, 4, 0, 8, 4, 0, 0, 0, 1, 0, 0, 5, 1, 0]"
22,22,22,24,0.9166666666666666,0,0,1.3181818181818181,0.013973143106398673,0.01928951918515849,True,18,"[0, 0, 0, 0, 0, 5, 0, 10, 3, 0, 0, 0, 4, 0, 0, 6, 1, 0]"
23,17,17,24,0.7083333333333334,0,0,1.2352941176470589,0.014431668993743499,0.022771900121575775,True,18,"[0, 0, 0, 0, 0, 2, 1, 5, 6, 0, 0, 0, 2, 0, 0, 4, 1, 0]"
24,20,20,24,0.8333333333333334,0,0,1.25,0.01401267107046541,0.017437868262095448,True,18,"[0, 0, 0, 0, 0, 6, 1, 9, 2, 0, 0, 0, 2, 0, 0, 4, 1, 0]"
25,21,21,24,0.875,0,0,1.4761904761904763,0.01271726738289015,0.01657403818859356,True,18,"[0, 0, 0, 0, 0, 2, 1, 13, 5, 0, 0, 0, 1, 0, 0, 6, 3, 0]"
26,18,18,24,0.75,0,0,1.3888888888888888,0.013522848793891309,0.015599000311877692,True,18,"[0, 0, 0, 0, 0, 5, 0, 10, 4, 0, 0, 0, 3, 0, 0, 2, 1, 0]"
