generation,parent_idx,lineage_id,m_active,A_delta_fro,condition_number_after,shrink_applied,psd_fallback,active_js,v_norms
1,0,0,1,0.01617397454836037,1.0254766864284575,True,False,[6],[0.027292345922483273]
1,1,1,2,0.015908351014992356,1.0254766864284568,True,False,"[9, 17]","[0.020390702841549944, 0.020390702841549944]"
1,2,2,1,0.016305779324197148,1.025476686428457,True,False,[16],[0.04779997875651239]
1,3,3,3,0.015351176402259418,1.0254766864284577,True,False,"[7, 11, 15]","[0.029225559225848095, 0.029225559225848095, 0.029225559225848095]"
1,4,4,1,0.016493057680151392,1.0254766864284572,True,False,[5],[0.027412444656986796]
1,5,5,1,0.016124934167727367,1.0254766864284575,True,False,[11],[0.025192431974471328]
1,6,6,1,0.014874062315071695,1.0254766864284572,True,False,[15],[0.0307621563416267]
1,7,7,1,0.01635584830545328,1.0254766864284577,True,False,[5],[0.028697791334087418]
1,8,8,2,0.015557411359940659,1.0254766864284577,True,False,"[8, 15]","[0.04206030355721793, 0.04206030355721793]"
1,9,9,1,0.016568334967932048,1.025476686428457,True,False,[7],[0.02890458940162822]
1,10,10,2,0.01657921085236672,1.025476686428458,True,False,"[7, 8]","[0.029809840155361568, 0.029809840155361568]"
1,11,11,1,0.01657094623314444,1.025476686428458,True,False,[7],[0.014627333670893207]
1,12,12,1,0.016428914771008392,1.0254766864284572,True,False,[8],[0.03539681864478562]
1,15,15,1,0.01655187357257483,1.025476686428457,True,False,[7],[0.032053489659286144]
1,16,16,1,0.016209986075579403,1.0254766864284572,True,False,[12],[0.031243300831582166]
1,17,17,2,0.016524740315169976,1.025476686428457,True,False,"[7, 8]","[0.03912955281289585, 0.03912955281289585]"
1,18,18,1,0.014465798989956516,1.0254766864284572,True,False,[5],[0.018420092104182245]
1,19,19,1,0.016441741791959282,1.0254766864284575,True,False,[15],[0.017116354852762757]
1,20,20,1,0.01640632775299566,1.0254766864284575,True,False,[7],[0.03412963519317205]
1,21,21,3,0.016445837411113072,1.0254766864284572,True,False,"[7, 9, 12]","[0.03454046165875013, 0.03454046165875013, 0.03454046165875013]"
1,22,22,1,0.01644311194518597,1.025476686428457,True,False,[16],[0.03594809607116131]
1,23,23,1,0.01624951955557692,1.0254766864284572,True,False,[7],[0.014305553612942968]
2,0,0,2,0.01583241298843167,1.0313990052457842,True,False,"[7, 16]","[0.02321310971410691, 0.02321310971410691]"
2,1,35,1,0.058647838591532976,1.2987634324510595,True,False,[7],[0.016938709658868293]
2,2,7,1,0.015725528135881493,1.0440173328964792,True,False,[5],[0.01890887235950304]
2,3,19,1,0.01587577131580981,1.0258343357781874,True,False,[8],[0.040348496155037286]
2,4,27,2,0.03634534775673006,1.1997386761578317,True,False,"[7, 11]","[0.0360861326261636, 0.0360861326261636]"
2,5,4,1,0.01568781525024232,1.0274621123009002,True,False,[5],[0.030796252376991316]
2,6,12,1,0.015896522915147964,1.0386244124624744,True,False,[5],[0.038395187504184435]
2,7,40,2,0.027920190117988672,1.1921397263827491,True,False,"[7, 16]","[0.028751389523355854, 0.028751389523355854]"
2,8,11,1,0.016135341137902305,1.0285817935541017,True,False,[5],[0.02645710164092513]
2,9,17,3,0.01478487213537692,1.0379701104064023,True,False,"[7, 8, 16]","[0.041474251026538386, 0.03369930573972949, 0.03369930573972949]"
2,10,43,4,0.04200834992450273,1.1928692769072553,True,False,"[7, 8, 12, 16]","[0.05466841492344888, 0.05466841492344888, 0.04735414202069731, 0.04735414202069731]"
2,12,8,1,0.016183831501782774,1.026299075393722,True,False,[7],[0.025523343024899055]
2,13,2,1,0.01570540076341658,1.03907592291047,True,False,[7],[0.027417257377521452]
2,14,23,1,0.015358347501819396,1.0358944180513978,True,False,[16],[0.04148109137912124]
2,15,44,1,0.015915351479402415,1.121052454967645,True,False,[5],[0.02599885452903686]
2,16,31,1,0.029301838698962347,1.1318570955905853,True,False,[8],[0.02299711302376846]
2,17,13,1,0.01617313471854617,1.0254766864284584,True,False,[7],[0.05690211022985307]
2,18,16,1,0.015074850633947454,1.0256469358341367,True,False,[5],[0.03879855737784314]
2,20,28,1,0.04205773809569701,1.193639191891846,True,False,[5],[0.0279092087340792]
2,21,21,2,0.016430608737235244,1.0474476478079966,True,False,"[7, 12]","[0.04956317536044915, 0.04956317536044915]"
2,22,32,1,0.026217591392982936,1.1111450663926516,True,False,[7],[0.014208244229374011]
2,23,5,1,0.015504184706722145,1.03779757151741,True,False,[5],[0.0212215087085766]
3,0,58,2,0.02817806290922567,1.2879473147597937,True,False,"[7, 15]","[0.037669149266166824, 0.034017350853423244]"
3,1,19,1,0.01660683689188438,1.0477139223624365,True,False,[7],[0.04086481882962868]
3,2,27,2,0.014125680008991993,1.1937989196808314,True,False,"[7, 15]","[0.024798635096747713, 0.024798635096747713]"
3,3,0,1,0.016170983902442367,1.0357017534136173,True,False,[7],[0.035586628167711944]
3,5,7,1,0.015919887804989583,1.0474211274494831,True,False,[5],[0.059008852343806664]
3,6,40,1,0.015900385525580877,1.1864414273555508,True,False,[7],[0.026001315094786273]
3,7,11,1,0.01631346381855138,1.0344292996387652,True,False,[7],[0.055181866485404685]
3,9,57,1,0.046947661132120296,1.1871990765178753,True,False,[7],[0.06566100578723504]
3,10,43,2,0.014547763246729638,1.2111033395777069,True,False,"[8, 12]","[0.05315982373819268, 0.04983956663101383]"
3,11,26,1,0.029568022744311064,1.127211530616692,True,False,[8],[0.030878114128948152]
3,12,66,1,0.02594152231198722,1.1788171483440255,True,False,[5],[0.047094845792797595]
3,13,12,1,0.014208149781615389,1.047044992114524,True,False,[8],[0.03250495847768307]
3,15,44,1,0.01436851575673507,1.1296515607396116,True,False,[7],[0.05983934182002711]
3,16,31,1,0.0159020412354522,1.1466558476624014,True,False,[5],[0.028276606517794674]
3,17,4,1,0.01614949396904778,1.0419983069235081,True,False,[7],[0.07165047114357044]
3,19,70,1,0.05011082852159619,1.3728778856944723,True,False,[7],[0.040911340270979854]
3,20,55,1,0.048483714838980445,1.2472997658551621,True,False,[5],[0.04661709154289967]
3,21,13,1,0.015583920099346681,1.0336511893021572,True,False,[5],[0.03350887784993684]
3,22,49,1,0.02204448604422642,1.3758676663476253,True,False,[7],[0.03863740346978631]
3,23,28,1,0.0161313697674164,1.2095132431339117,True,False,[5],[0.0325230277890315]
4,0,58,1,0.014106265107575192,1.2872581298689652,True,False,[15],[0.040828822052521654]
4,1,86,2,0.025606313741100787,1.4191304215589706,True,False,"[7, 15]","[0.04772517857991421, 0.028260835767561138]"
4,2,19,2,0.015314474703445515,1.0495688877607754,True,False,"[8, 15]","[0.024367366783767816, 0.043023402793347744]"
4,3,27,1,0.013425316572317663,1.1776643417339399,True,False,[11],[0.0386796429086045]
