generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile
1,0,False,0.9903312274285714,[-2481.3280067492196],[0.0],[0.0],0.0,-3546.5490252916693,-1964.9067651740013,513.9900445330871,22,0.0,5,True,0.75
2,0,False,0.9910306657142858,[-2982.604310644859],[0.0],[0.0],0.0,-3546.5490252916693,-1934.1237761138918,532.7466978998383,24,0.0,6,True,0.75
3,0,False,0.9530155028571435,[-3159.9366539926805],[0.0],[0.0],0.0,-3546.5490252916693,-1934.1237761138918,481.9063391787836,24,0.0,3,True,0.75
4,0,False,0.9659890628571435,[-2988.292841216933],[0.0],[0.0],0.0,-3492.718246672037,-1964.9067651740013,402.5742733081952,24,0.0,4,True,0.75
5,0,False,0.8673662457142863,[-3101.7466268417434],[0.0],[0.0],0.0,-3479.554563235767,-1288.68493795218,535.0989879517517,24,0.0,2,True,0.75
6,0,False,0.8673662457142863,[-3101.7466268417434],[0.0],[0.0],0.0,-3560.0220208656874,-1288.68493795218,501.4666442590232,24,0.0,2,True,0.75
7,0,False,0.8673662457142863,[-3101.7466268417434],[0.0],[0.0],0.0,-3479.554563235767,-1288.68493795218,505.7514326917588,24,0.0,2,True,0.75
8,0,False,0.8673662457142863,[-3101.7466268417434],[0.0],[0.0],0.0,-3479.554563235767,-1288.68493795218,505.7514326917588,24,0.0,2,True,0.75
9,0,False,0.8673662457142863,[-3101.7466268417434],[0.0],[0.0],0.0,-3583.844031107772,-2230.897936419388,361.3705704085696,24,0.0,2,True,0.75
10,0,False,0.83774664952381,[-3187.034702267573],[0.0],[0.0],0.0,-3583.844031107772,-2230.897936419388,383.0931254100394,24,0.0,3,True,0.75
11,0,False,0.83774664952381,[-3187.034702267573],[0.0],[0.0],0.0,-3583.844031107772,-2230.897936419388,364.55585436603315,24,0.0,3,True,0.75
