generation,n_infeasible_slots,n_infeasible_draws,n_redraws,n_unresolved,n_lambda,n_constraints,per_constraint_violation_count
1,18,121,121,0,24,18,"[0, 0, 0, 0, 0, 27, 6, 55, 18, 0, 0, 5, 14, 0, 0, 5, 20, 3]"
2,20,87,87,0,24,18,"[0, 0, 0, 0, 0, 17, 1, 39, 30, 2, 0, 0, 14, 0, 0, 4, 11, 9]"
3,19,190,190,0,24,18,"[0, 0, 0, 0, 0, 61, 7, 74, 33, 3, 0, 1, 16, 0, 0, 10, 9, 14]"
4,22,172,172,0,24,18,"[0, 0, 0, 0, 0, 36, 3, 77, 34, 2, 0, 2, 24, 0, 0, 14, 11, 16]"
5,18,163,163,0,24,18,"[0, 0, 0, 0, 0, 15, 0, 67, 53, 2, 0, 14, 46, 0, 0, 12, 27, 14]"
6,18,161,161,0,24,18,"[0, 0, 0, 0, 0, 12, 0, 69, 68, 0, 0, 10, 54, 0, 0, 17, 29, 17]"
7,24,292,292,0,24,18,"[0, 0, 0, 0, 0, 36, 0, 120, 88, 0, 0, 26, 81, 0, 0, 25, 66, 28]"
8,21,222,222,0,24,18,"[0, 0, 0, 0, 0, 19, 0, 75, 65, 0, 0, 24, 64, 0, 0, 24, 50, 24]"
9,21,156,156,0,24,18,"[0, 0, 0, 0, 0, 31, 1, 67, 48, 0, 0, 20, 27, 0, 0, 9, 10, 5]"
10,21,178,178,0,24,18,"[0, 0, 0, 0, 0, 23, 1, 68, 67, 0, 0, 13, 58, 0, 0, 14, 23, 15]"
11,21,148,148,0,24,18,"[0, 0, 0, 0, 0, 22, 1, 59, 47, 0, 0, 7, 40, 0, 0, 11, 23, 13]"
12,20,203,203,0,24,18,"[0, 0, 0, 0, 0, 30, 0, 75, 62, 0, 0, 16, 54, 0, 0, 30, 34, 18]"
13,21,238,238,0,24,18,"[0, 0, 0, 0, 0, 27, 1, 93, 90, 0, 3, 6, 82, 0, 0, 23, 46, 22]"
14,20,205,205,0,24,18,"[0, 0, 0, 0, 0, 24, 1, 95, 67, 1, 4, 9, 46, 0, 0, 30, 15, 17]"
15,23,412,411,1,24,18,"[0, 0, 0, 0, 0, 44, 1, 167, 139, 6, 6, 14, 154, 0, 0, 46, 89, 53]"
16,22,440,439,1,24,18,"[0, 0, 0, 0, 0, 52, 5, 188, 144, 20, 3, 4, 143, 0, 0, 58, 114, 62]"
17,20,327,326,1,24,18,"[0, 0, 0, 0, 0, 34, 2, 148, 99, 7, 12, 14, 97, 1, 1, 76, 74, 26]"
