generation,mu,mean_sigma,min_sigma,max_sigma,mean_psucc,min_psucc,max_psucc,gens_silent,sigma_floor_active,archive_size,n_pitot3_sentinels,n_spark_sentinels,n_both_sentinels,n_sentinels,lineage_0,lineage_1,lineage_2,lineage_3,lineage_4,lineage_5,lineage_6,lineage_7,lineage_8,lineage_9,lineage_10,lineage_11,lineage_12,lineage_13,lineage_14,lineage_15,lineage_16,lineage_17,lineage_18,lineage_19,lineage_20,lineage_21,lineage_22,lineage_23,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,psucc_0,psucc_1,psucc_2,psucc_3,psucc_4,psucc_5,psucc_6,psucc_7,psucc_8,psucc_9,psucc_10,psucc_11,psucc_12,psucc_13,psucc_14,psucc_15,psucc_16,psucc_17,psucc_18,psucc_19,psucc_20,psucc_21,psucc_22,psucc_23
1,24,0.10085791538349022,0.09953810705865762,0.10210518621451076,0.20959595959595964,0.16666666666666666,0.25,0,False,1,0,0,0,0,43,0,7,19,4,12,23,17,8,2,11,13,16,5,21,6,32,47,18,44,22,42,10,33,0.10210518621451076,0.09953810705865762,0.1,0.10210518621451076,0.1,0.1,0.10210518621451076,0.1,0.10210518621451076,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.1,0.10210518621451076,0.1,0.10210518621451076,0.25,0.16666666666666666,0.18181818181818182,0.25,0.18181818181818182,0.18181818181818182,0.25,0.18181818181818182,0.25,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.25,0.25,0.25,0.25,0.18181818181818182,0.25,0.18181818181818182,0.25
2,24,0.10132854586510369,0.09953810705865762,0.10626479815687233,0.2130681818181818,0.16666666666666666,0.3125,0,False,1,0,0,0,0,43,0,51,19,7,23,17,4,12,11,8,2,16,5,13,6,32,21,18,47,42,44,22,10,0.1035931400515108,0.09953810705865762,0.10626479815687233,0.10626479815687233,0.1,0.10210518621451076,0.1,0.1,0.1,0.1,0.10210518621451076,0.1,0.1,0.1,0.1,0.1,0.10210518621451076,0.1,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.1035931400515108,0.1,0.1,0.22916666666666666,0.16666666666666666,0.3125,0.3125,0.18181818181818182,0.25,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.25,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.25,0.18181818181818182,0.25,0.25,0.25,0.22916666666666666,0.18181818181818182,0.18181818181818182
3,24,0.10151045052615326,0.09953810705865762,0.10626479815687233,0.22182765151515152,0.16666666666666666,0.3125,0,False,1,0,0,0,0,43,0,51,19,7,23,17,87,11,4,12,16,5,8,2,80,32,13,6,21,18,47,42,22,0.1035931400515108,0.09953810705865762,0.10626479815687233,0.10626479815687233,0.1,0.10210518621451076,0.1,0.10210518621451076,0.1,0.1,0.10210518621451076,0.1,0.1,0.10210518621451076,0.09953810705865762,0.10210518621451076,0.10210518621451076,0.1,0.10210518621451076,0.1,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.1,0.22916666666666666,0.16666666666666666,0.3125,0.3125,0.18181818181818182,0.25,0.18181818181818182,0.25,0.18181818181818182,0.18181818181818182,0.25,0.18181818181818182,0.18181818181818182,0.25,0.16666666666666666,0.25,0.25,0.18181818181818182,0.25,0.18181818181818182,0.25,0.25,0.25,0.18181818181818182
4,24,0.10233853104745494,0.09865876712893568,0.11254694432213024,0.22917324284511786,0.15277777777777776,0.36979166666666663,0,False,1,0,0,0,0,43,0,51,19,7,23,17,87,11,4,12,16,98,8,2,80,5,13,6,32,21,18,47,42,0.10449126110942733,0.09865876712893568,0.11254694432213024,0.10626479815687233,0.1,0.10210518621451076,0.1,0.10210518621451076,0.09953810705865762,0.1,0.10210518621451076,0.1,0.11254694432213024,0.10210518621451076,0.09953810705865762,0.1035931400515108,0.1,0.1,0.10210518621451076,0.10210518621451076,0.1,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.21006944444444442,0.15277777777777776,0.36979166666666663,0.3125,0.18181818181818182,0.25,0.18181818181818182,0.25,0.16666666666666666,0.18181818181818182,0.25,0.18181818181818182,0.36979166666666663,0.25,0.16666666666666666,0.22916666666666666,0.18181818181818182,0.18181818181818182,0.25,0.25,0.18181818181818182,0.25,0.25,0.25
5,24,0.10537322354270513,0.09865876712893568,0.12112871390712321,0.2544915298821549,0.15277777777777776,0.4223090277777778,0,False,2,0,0,0,0,43,132,0,51,123,19,7,122,17,87,23,11,4,12,16,98,8,2,80,5,13,6,32,21,0.10449126110942733,0.12112871390712321,0.09865876712893568,0.12112871390712321,0.11254694432213024,0.11254694432213024,0.1,0.12112871390712321,0.1,0.10210518621451076,0.10210518621451076,0.09953810705865762,0.1,0.10210518621451076,0.1,0.12112871390712321,0.10210518621451076,0.09953810705865762,0.10449126110942733,0.1,0.1,0.10210518621451076,0.10210518621451076,0.1,0.21006944444444442,0.4223090277777778,0.15277777777777776,0.4223090277777778,0.36979166666666663,0.36979166666666663,0.18181818181818182,0.4223090277777778,0.18181818181818182,0.25,0.25,0.16666666666666666,0.18181818181818182,0.25,0.18181818181818182,0.4223090277777778,0.25,0.16666666666666666,0.21006944444444442,0.18181818181818182,0.18181818181818182,0.25,0.25,0.18181818181818182
6,24,0.10853685532607567,0.09865876712893568,0.13229665262278245,0.27300552727798827,0.15277777777777776,0.47044994212962965,0,False,2,0,0,0,0,43,132,0,51,123,19,7,122,151,87,149,17,4,12,23,11,8,2,16,98,13,80,5,21,0.10449126110942733,0.12112871390712321,0.09865876712893568,0.12897051423620146,0.11254694432213024,0.12112871390712321,0.1,0.13229665262278245,0.13229665262278245,0.10210518621451076,0.12112871390712321,0.1,0.1,0.10210518621451076,0.10210518621451076,0.09953810705865762,0.10210518621451076,0.09865876712893568,0.1,0.12112871390712321,0.1,0.10449126110942733,0.1,0.1,0.21006944444444442,0.4223090277777778,0.15277777777777776,0.3871166087962963,0.36979166666666663,0.4223090277777778,0.18181818181818182,0.47044994212962965,0.47044994212962965,0.25,0.4223090277777778,0.18181818181818182,0.18181818181818182,0.25,0.25,0.16666666666666666,0.25,0.15277777777777776,0.18181818181818182,0.4223090277777778,0.18181818181818182,0.21006944444444442,0.18181818181818182,0.18181818181818182
7,24,0.10995265807804278,0.09865876712893568,0.14277368551308597,0.2746531225704674,0.15277777777777776,0.47044994212962965,0,False,2,0,0,0,0,43,132,0,51,123,19,7,122,151,87,149,17,4,12,23,11,8,2,16,98,189,13,80,5,0.10449126110942733,0.12112871390712321,0.09865876712893568,0.12897051423620146,0.11808335442858496,0.12112871390712321,0.09953810705865762,0.13229665262278245,0.14277368551308597,0.10210518621451076,0.12112871390712321,0.1,0.1,0.10210518621451076,0.10210518621451076,0.09953810705865762,0.10210518621451076,0.09865876712893568,0.1,0.12897051423620146,0.10753858838607169,0.1,0.10753858838607169,0.1,0.21006944444444442,0.4223090277777778,0.15277777777777776,0.3871166087962963,0.3389756944444444,0.4223090277777778,0.16666666666666666,0.47044994212962965,0.4312457802854938,0.25,0.4223090277777778,0.18181818181818182,0.18181818181818182,0.25,0.25,0.16666666666666666,0.25,0.15277777777777776,0.18181818181818182,0.3871166087962963,0.2758969907407407,0.18181818181818182,0.2758969907407407,0.18181818181818182
8,24,0.11037003500483407,0.09865876712893568,0.14277368551308597,0.27993720754273055,0.15277777777777776,0.4312457802854938,0,False,2,0,0,0,0,43,132,0,51,123,19,198,7,122,151,87,149,17,210,12,23,11,4,8,2,16,98,189,13,0.10449126110942733,0.12112871390712321,0.09865876712893568,0.12897051423620146,0.11808335442858496,0.12112871390712321,0.10120316818419796,0.10120316818419796,0.14277368551308597,0.14277368551308597,0.10210518621451076,0.12112871390712321,0.1,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.09953810705865762,0.1,0.10210518621451076,0.09865876712893568,0.10210518621451076,0.12897051423620146,0.10753858838607169,0.1,0.21006944444444442,0.4223090277777778,0.15277777777777776,0.3871166087962963,0.3389756944444444,0.4223090277777778,0.2361111111111111,0.2361111111111111,0.4312457802854938,0.4312457802854938,0.25,0.4223090277777778,0.18181818181818182,0.25,0.25,0.25,0.16666666666666666,0.18181818181818182,0.25,0.15277777777777776,0.25,0.3871166087962963,0.2758969907407407,0.18181818181818182
9,24,0.11294364958074836,0.09865876712893568,0.14277368551308597,0.2969256000397493,0.15277777777777776,0.4381902247299383,0,False,3,0,0,0,0,43,237,132,0,51,123,19,233,198,7,122,151,87,149,17,210,12,23,11,4,8,16,98,189,0.10449126110942733,0.13947978891337703,0.12112871390712321,0.09865876712893568,0.12897051423620146,0.1228273602306248,0.12112871390712321,0.10210518621451076,0.10120316818419796,0.10120316818419796,0.14277368551308597,0.14277368551308597,0.10210518621451076,0.12112871390712321,0.1,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.09865876712893568,0.10210518621451076,0.10210518621451076,0.10210518621451076,0.13947978891337703,0.10990000344505797,0.21006944444444442,0.4381902247299383,0.4223090277777778,0.15277777777777776,0.3871166087962963,0.3107277199074074,0.4223090277777778,0.25,0.2361111111111111,0.2361111111111111,0.4312457802854938,0.4312457802854938,0.25,0.4223090277777778,0.18181818181818182,0.25,0.25,0.25,0.15277777777777776,0.25,0.25,0.25,0.4381902247299383,0.25290557484567894
10,24,0.11165595548121536,0.09991965677806096,0.14277368551308597,0.2979577974661254,0.18181818181818182,0.4381902247299383,0,False,3,0,0,0,0,43,237,132,0,51,123,19,247,198,7,122,151,233,243,87,149,17,210,12,258,23,11,4,189,0.10449126110942733,0.13947978891337703,0.12112871390712321,0.09991965677806096,0.12897051423620146,0.1228273602306248,0.12112871390712321,0.10626479815687233,0.10120316818419796,0.10120316818419796,0.14277368551308597,0.14277368551308597,0.10626479815687233,0.09991965677806096,0.10210518621451076,0.12112871390712321,0.1,0.10210518621451076,0.10210518621451076,0.09991965677806096,0.10210518621451076,0.09991965677806096,0.10210518621451076,0.10990000344505797,0.21006944444444442,0.4381902247299383,0.4223090277777778,0.22337962962962962,0.3871166087962963,0.3107277199074074,0.4223090277777778,0.3125,0.2361111111111111,0.2361111111111111,0.4312457802854938,0.4312457802854938,0.3125,0.22337962962962962,0.25,0.4223090277777778,0.18181818181818182,0.25,0.25,0.22337962962962962,0.25,0.22337962962962962,0.25,0.25290557484567894
11,24,0.11344126210458748,0.09991965677806096,0.14277368551308597,0.3082810275972982,0.18181818181818182,0.47044994212962965,0,False,3,0,0,0,0,43,237,132,0,51,123,19,247,198,7,122,151,233,243,87,279,149,17,210,12,258,23,11,189,0.10449126110942733,0.13947978891337703,0.12112871390712321,0.09991965677806096,0.12897051423620146,0.1228273602306248,0.12112871390712321,0.10626479815687233,0.10120316818419796,0.10120316818419796,0.14277368551308597,0.14277368551308597,0.10626479815687233,0.09991965677806096,0.10210518621451076,0.13229665262278245,0.13229665262278245,0.1,0.1035931400515108,0.10210518621451076,0.09991965677806096,0.10210518621451076,0.09991965677806096,0.10990000344505797,0.21006944444444442,0.4381902247299383,0.4223090277777778,0.22337962962962962,0.3871166087962963,0.3107277199074074,0.4223090277777778,0.3125,0.2361111111111111,0.2361111111111111,0.4312457802854938,0.4312457802854938,0.3125,0.22337962962962962,0.25,0.47044994212962965,0.47044994212962965,0.18181818181818182,0.22916666666666666,0.25,0.22337962962962962,0.25,0.22337962962962962,0.25290557484567894
12,24,0.113566563923116,0.09991965677806096,0.14277368551308597,0.3051584388627303,0.18181818181818182,0.47044994212962965,0,False,3,0,0,0,0,43,237,132,0,51,123,19,247,198,7,122,151,233,243,87,279,149,17,210,12,258,23,11,189,0.10449126110942733,0.13947978891337703,0.12112871390712321,0.09991965677806096,0.12897051423620146,0.1228273602306248,0.12112871390712321,0.10626479815687233,0.10120316818419796,0.10120316818419796,0.14277368551308597,0.14277368551308597,0.10626479815687233,0.10062269764031694,0.10210518621451076,0.13229665262278245,0.13229665262278245,0.1,0.10449126110942733,0.10210518621451076,0.10062269764031694,0.10210518621451076,0.10062269764031694,0.10990000344505797,0.21006944444444442,0.4381902247299383,0.4223090277777778,0.22337962962962962,0.3871166087962963,0.3107277199074074,0.4223090277777778,0.3125,0.2361111111111111,0.2361111111111111,0.4312457802854938,0.4312457802854938,0.3125,0.20476466049382713,0.25,0.47044994212962965,0.47044994212962965,0.18181818181818182,0.21006944444444442,0.25,0.20476466049382713,0.25,0.20476466049382713,0.25290557484567894
13,24,0.11418096423458034,0.09991965677806096,0.1523977609012376,0.300996944276691,0.18181818181818182,0.47044994212962965,0,False,3,0,0,0,0,43,237,132,0,51,123,19,247,198,7,122,151,233,243,87,279,149,17,210,12,258,23,11,189,0.10449126110942733,0.13947978891337703,0.12112871390712321,0.09991965677806096,0.12897051423620146,0.1228273602306248,0.12112871390712321,0.10626479815687233,0.10120316818419796,0.10120316818419796,0.1523977609012376,0.14277368551308597,0.10971734353948906,0.10062269764031694,0.1035931400515108,0.13229665262278245,0.13229665262278245,0.1,0.10449126110942733,0.10210518621451076,0.10062269764031694,0.10210518621451076,0.10080373050769287,0.10990000344505797,0.21006944444444442,0.4381902247299383,0.4223090277777778,0.22337962962962962,0.3871166087962963,0.3107277199074074,0.4223090277777778,0.3125,0.2361111111111111,0.2361111111111111,0.3953086319283693,0.4312457802854938,0.2864583333333333,0.20476466049382713,0.22916666666666666,0.47044994212962965,0.47044994212962965,0.18181818181818182,0.21006944444444442,0.25,0.20476466049382713,0.25,0.1877009387860082,0.25290557484567894
