generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile,proxy_front_min_size
1,0,False,1.1052319142857143,[-2989.3664592732143],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,393.74511597413505,24,0.0,24,False,,
2,0,False,1.077638167857143,[-2883.9743055959702],[0.0],[0.0],0.0,-3571.81126549272,-1962.2091448807705,425.3211166822433,24,0.0,24,False,,
3,0,False,1.0652359064285715,[-2997.9739183501165],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,381.11154486581813,24,0.0,24,False,,
4,0,False,1.0652359064285715,[-2997.9739183501165],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,381.11154486581813,24,0.0,24,False,,
5,0,False,1.0749077683333332,[-3044.9191730297775],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,384.9256139393969,24,0.0,24,False,,
6,0,False,1.0631279873809525,[-3075.3130527600238],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,384.6338816916933,24,0.0,24,False,,
7,0,False,1.0631279873809525,[-3075.3130527600238],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,384.6338816916933,24,0.0,24,False,,
8,0,False,1.0479911183333332,[-3084.119425687224],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,392.2312454930994,24,0.0,24,False,,
9,0,False,1.0295209254761906,[-3002.948331655231],[0.0],[0.0],0.0,-3571.81126549272,-1919.0542900458715,433.5599666491565,24,0.0,24,False,,
10,0,False,1.0295209254761906,[-3002.948331655231],[0.0],[0.0],0.0,-3571.81126549272,-1919.0542900458715,433.5599666491565,24,0.0,24,False,,
11,0,False,1.0208655314285715,[-2956.7732736692456],[0.0],[0.0],0.0,-3571.81126549272,-1919.0542900458715,457.56425853917307,24,0.0,24,False,,
12,0,False,1.017212427857143,[-2884.8925785769693],[0.0],[0.0],0.0,-3571.81126549272,-1919.0542900458715,488.57917477188215,24,0.0,24,False,,
13,0,False,1.0163685326190477,[-2939.0275320858877],[0.0],[0.0],0.0,-3571.81126549272,-1919.0542900458715,466.60509218870664,24,0.0,24,False,,
