generation,n_arnold_calls,n_infeasible,n_lambda,infeasibility_rate,n_psd_fallback,n_no_active_js,mean_m_active,mean_A_delta_fro,max_A_delta_fro,any_shrink_applied,n_constraints,per_constraint_violation_count
1,22,22,24,0.9166666666666666,0,0,1.4545454545454546,0.016235587284251955,0.016874190046296065,True,18,"[0, 0, 0, 0, 0, 6, 2, 11, 5, 1, 0, 0, 0, 0, 0, 2, 5, 0]"
2,19,19,24,0.7916666666666666,0,0,1.2105263157894737,0.015634182652584108,0.01683030617793248,True,18,"[0, 0, 0, 0, 0, 4, 0, 9, 3, 1, 0, 1, 2, 0, 0, 3, 0, 0]"
3,21,21,24,0.875,0,0,1.3333333333333333,0.01913460908127737,0.04895354959232958,True,18,"[0, 0, 0, 0, 0, 4, 2, 11, 2, 1, 0, 0, 3, 0, 0, 2, 3, 0]"
4,21,21,24,0.875,0,0,1.0476190476190477,0.01772324696519221,0.040506530648237414,True,18,"[0, 0, 0, 0, 0, 5, 1, 11, 0, 0, 0, 0, 1, 0, 0, 3, 1, 0]"
5,21,21,24,0.875,0,0,1.1904761904761905,0.01573578571551646,0.02216641407057218,True,18,"[0, 0, 0, 0, 0, 5, 1, 10, 3, 0, 0, 0, 0, 0, 0, 1, 5, 0]"
6,19,19,24,0.7916666666666666,0,0,1.3157894736842106,0.015121893098327741,0.021767685021016572,True,18,"[0, 0, 0, 0, 0, 3, 1, 10, 2, 0, 0, 0, 2, 0, 0, 2, 4, 1]"
7,19,19,24,0.7916666666666666,0,0,1.2105263157894737,0.01660273133091832,0.022412318730422133,True,18,"[0, 0, 0, 0, 0, 3, 1, 8, 3, 0, 0, 0, 1, 0, 0, 3, 4, 0]"
8,19,19,24,0.7916666666666666,0,0,1.105263157894737,0.01859845740124506,0.05900998224144063,True,18,"[0, 0, 0, 0, 0, 5, 2, 8, 4, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
9,21,21,24,0.875,0,0,1.2380952380952381,0.019104469609123674,0.05936852030299133,True,18,"[0, 0, 0, 0, 0, 7, 2, 8, 3, 0, 0, 0, 2, 0, 0, 3, 1, 0]"
10,19,19,24,0.7916666666666666,0,0,1.263157894736842,0.016933575656386025,0.0502891702666245,True,18,"[0, 0, 0, 0, 0, 7, 1, 5, 1, 0, 0, 0, 3, 0, 0, 7, 0, 0]"
11,19,19,24,0.7916666666666666,0,0,1.1578947368421053,0.014902576152562571,0.016351602708740934,True,18,"[0, 0, 0, 0, 0, 6, 2, 8, 2, 0, 0, 0, 0, 0, 0, 3, 1, 0]"
12,17,17,24,0.7083333333333334,0,0,1.5294117647058822,0.016535846750433607,0.038753166762980185,True,18,"[0, 0, 0, 0, 0, 4, 1, 5, 6, 0, 0, 0, 1, 0, 0, 6, 3, 0]"
13,19,19,24,0.7916666666666666,0,0,1.105263157894737,0.014681066116999982,0.016297145743868327,True,18,"[0, 0, 0, 0, 0, 2, 0, 11, 2, 0, 0, 1, 2, 0, 0, 3, 0, 0]"
14,22,22,24,0.9166666666666666,0,0,1.0909090909090908,0.022073232364325873,0.10186073495888286,True,18,"[0, 0, 0, 0, 0, 4, 1, 8, 4, 0, 0, 0, 3, 0, 0, 3, 1, 0]"
15,19,19,24,0.7916666666666666,0,0,1.3157894736842106,0.01439468507681306,0.01654902687744793,True,18,"[0, 0, 0, 0, 0, 4, 0, 8, 5, 0, 0, 1, 1, 0, 0, 5, 1, 0]"
16,23,23,24,0.9583333333333334,0,0,1.2173913043478262,0.015178623575470274,0.03538925055257052,True,18,"[0, 0, 0, 0, 0, 4, 1, 8, 5, 0, 0, 1, 1, 0, 0, 5, 3, 0]"
17,19,19,24,0.7916666666666666,0,0,1.4210526315789473,0.013534014372112341,0.016318283937869674,True,18,"[0, 0, 0, 0, 0, 3, 1, 9, 6, 0, 0, 0, 3, 0, 0, 1, 4, 0]"
18,18,18,24,0.75,0,0,1.2222222222222223,0.01402734576106436,0.015747887351928072,True,18,"[0, 0, 0, 0, 0, 5, 0, 8, 5, 0, 0, 0, 2, 0, 0, 1, 1, 0]"
19,20,20,24,0.8333333333333334,0,0,1.45,0.01337489179159714,0.015898825419839356,True,18,"[0, 0, 0, 0, 0, 2, 0, 7, 8, 0, 0, 1, 4, 0, 0, 3, 4, 0]"
20,21,21,24,0.875,0,0,1.380952380952381,0.014135944214873152,0.01609820205331227,True,18,"[0, 0, 0, 0, 0, 9, 0, 6, 4, 0, 0, 0, 5, 0, 0, 4, 1, 0]"
21,16,16,24,0.6666666666666666,0,0,1.625,0.012978688829241131,0.015377186822548494,True,18,"[0, 0, 0, 0, 0, 4, 1, 9, 5, 0, 0, 0, 2, 0, 0, 2, 3, 0]"
22,19,19,24,0.7916666666666666,0,0,1.368421052631579,0.01723493602383943,0.05033918211895347,True,18,"[0, 0, 0, 0, 0, 5, 1, 10, 1, 0, 0, 0, 2, 0, 0, 5, 2, 0]"
23,21,21,24,0.875,0,0,1.2857142857142858,0.018052577750912503,0.08596967780019767,True,18,"[0, 0, 0, 0, 0, 2, 0, 13, 5, 0, 0, 0, 1, 0, 0, 4, 2, 0]"
